Category,Module Name,Purpose / Output Goal,Dependencies & Notes,Expertise Level,Team,OS,Application,Pre Config,Compliance Mapping
Continuous Compliance,cis_benchmark,Map & monitor CIS control drift,Requires baseline CIS profiles; Agent service installed,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline CIS profiles imported; Agent installed as service with elevated rights,
Continuous Compliance,iso_27001_check,Assess ISO 27001 control status,Needs ISO control catalog; scheduled nightly scans,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),ISO 27001 control catalog loaded into Compliance DB; nightly scan scheduled,
Continuous Compliance,nist_mapping,Correlate assets to NIST CSF/800-53 controls,Relies on mapping index in Compliance DB; requires DB read-only user,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Compliance DB,Mapping index table imported; DB user with SELECT permissions configured,
Continuous Compliance,pci_dss_check,Detect PCI-DSS policy violations,"Uses PCI policy profiles; monitors encryption, segmentation rules",Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),PCI-DSS policy profiles configured; Agent service running with admin rights,
Continuous Compliance,gdpr_audit,Verify GDPR data-handling compliance,Integrates with DLP engine; PII pattern library,Level 2,Security & Compliance Team,"Windows, Linux, macOS",DLP/Agent,PII patterns defined; DLP integration endpoint configured,
Continuous Compliance,sox_compliance_check,Audit SOX control adherence,Requires SOX control matrix; ingests financial system audit logs,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),SOX control matrix uploaded; log source collectors configured,
Continuous Compliance,hipaa_compliance_checker,Evaluate HIPAA safeguard implementation,Utilizes HIPAA policy library; DLP integration,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),HIPAA policy library imported; DLP connectors configured,
Continuous Compliance,policy_as_code_checker,Enforce IaC policies via OPA/Gatekeeper,Requires OPA/Gatekeeper and access to IaC repo,Level 3,Security & Compliance Team,"Windows, Linux, macOS",OPA/Gatekeeper,Policy repo URL configured; OPA service account credentials loaded,
Continuous Compliance,fisma_continuous_scanner,Automate FISMA/NIST 800-53 assessments,Uses FISMA profiles; ties into NIST catalog,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),FISMA profiles loaded; scan schedule defined,
Audit & Reporting,audit_log_retention_check,Ensure logs are immutable & retained per policy,Requires log storage targets with WORM support,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Log retention policies defined; WORM storage configured,
Audit & Reporting,ssl_certificate_expiry_check,Alert on TLS certificate expiry,Certificate inventory; CA API access,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Certificate inventory imported; Agent configured to scan certificate stores,
Audit & Reporting,certificate_transparency_monitor,Detect rogue certificates via CT logs,CT Log API; domain list,Level 2,Security & Compliance Team,"Windows, Linux, macOS",CT Log API,Domain list imported; CT log endpoints configured,
Audit & Reporting,account_lockout_policy_checker,Validate account lockout thresholds,AD/GPO integration; event log access,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),AD domain read account configured; GPO settings imported,
Audit & Reporting,password_policy_audit,Check password complexity & rotation,AD/GPO or local policy access,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Password policy definitions loaded; Agent configured for policy scan,
Audit & Reporting,backup_verification_tool,Confirm backup schedules & integrity,Backup service API; target storage access,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Veeam/Azure/AWS APIs,Backup schedules defined; integrity hash targets configured,
Audit & Reporting,third_party_risk_audit,"Track vendor certifications (SOC2, ISO, etc.)",Vendor portal API or CSV input,Level 2,Security & Compliance Team,Platform agnostic,CSV import/Portal API,Vendor API credentials; CSV feed integration configured,
Audit & Reporting,contract_compliance_checker,Correlate usage metrics to SLA/contract terms,Usage telemetry; SLA definitions,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),SLA definitions imported; usage collectors configured,
Audit & Reporting,log_integrity_validator,Validate checksums & WORM storage for audit logs,Checksum engine; WORM targets,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Checksum rules defined; WORM storage endpoints configured,
Audit & Reporting,config_change_audit,Report configuration diffs & history,Baseline snapshots; diff engine,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline config snapshots imported; diff scheduling configured,
Threat Detection,malware_signature_scan,Identify known malware via signature matches,Requires YARA/ClamAV feeds; agent service installed,Level 4,Security & Compliance Team,"Windows, Linux, macOS",YARA/ClamAV,Signature feeds configured; Agent installed with elevated rights,
Threat Detection,ti_feed_aggregator,Consolidate STIX/TAXII threat-intel feeds,STIX/TAXII connectors; normalization engine,Level 4,Security & Compliance Team,"Windows, Linux, macOS",STIX/TAXII Connectors,Feed endpoints configured; Agent telemetry enabled,
Threat Detection,ioc_matcher,"Correlate IOCs (hashes, IPs, domains)",IOC list in DB; agent telemetry,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),IOC feeds imported; Agent telemetry enabled,
Threat Detection,behavioral_flags,Score anomalies via UEBA,UEBA engine; historic baselines,Level 4,Security & Compliance Team,"Windows, Linux, macOS",UEBA Engine,Baseline user profiles loaded; Event log integration,
Threat Detection,unusual_login_pattern_alert,Detect impossible travel & brute-force patterns,Geo-IP DB; IAM logs,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Geo-IP database updated; IAM log feed configured,
Threat Detection,data_exfiltration_monitor,Flag bulk transfers & odd protocol anomalies,NetFlow/sFlow; DLP hooks,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Network flow collection enabled; DLP integration configured,
Threat Detection,ct_log_monitor,Watch CT logs for new/rogue certificates,CT Log API; domain list,Level 3,Security & Compliance Team,"Windows, Linux, macOS",CT Log API,Domain list imported; CT log endpoints configured,
Threat Detection,suspicious_process_detector,Catch LOLbins & parent-child anomalies,ETW/auditd; LOLbins list,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),LOLBins list imported; ETW/auditd enabled,
Threat Detection,phishing_url_scanner,Scan URLs for phishing patterns,URL reputation API; crawler,Level 4,Security & Compliance Team,"Windows, Linux, macOS",URL Reputation API,Reputation feeds configured; Crawler endpoint set,
Threat Detection,dns_tunnel_detector,Identify data exfiltration over DNS,DNS query logs; DPI engine,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),DNS flow capture enabled; DPI rules configured,
Threat Detection,malicious_ip_reputation,Vet outbound IP connections,IP reputation API,Level 3,Security & Compliance Team,"Windows, Linux, macOS",IP Reputation API,Reputation feeds configured,
Threat Detection,fileless_attack_detector,Heuristic detection of script-based attacks,PowerShell/WMI logging; heuristic engine,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),PowerShell/WMI logging enabled; Heuristic rules loaded,
Vulnerability Management,vulnerable_software_scanner,Map installed software to CVEs,Software inventory; NVD feeds,Level 3,Security & Compliance Team,"Windows, Linux, macOS",NVD Feeds,Inventory sync enabled; NVD feed updated,
Vulnerability Management,cve_patch_gap_analyzer,Highlight unpatched CVE backlog,Patch management API; inventory,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Patch API credentials; Baseline patch policy configured,
Vulnerability Management,patch_level_verification,Confirm required patches are applied,WSUS/SCCM or Linux update API,Level 3,Security & Compliance Team,"Windows, Linux, macOS",WSUS/SCCM API,Patch source configured; Agent installed,
Vulnerability Management,version_drift,Track deviations from approved version baselines,Approved version list; inventory,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Approved version list imported,
Vulnerability Management,auto_remediation_runner,Execute safe remediation playbooks,Ansible/Terraform; playbook library,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Ansible/Terraform,Playbook library imported; Orchestration credentials configured,
Vulnerability Management,container_vuln_scanner,Audit Docker/K8s images for CVEs,Container registry creds; Trivy/Clair,Level 3,Security & Compliance Team,Container Hosts,Trivy/Clair,Registry credentials configured; Image list synced,
Vulnerability Management,webapp_vuln_scanner,Perform OWASP Top 10 & SAST/DAST scans,Web app endpoints; ZAP/DAST integration,Level 4,Security & Compliance Team,Platform agnostic,ZAP/DAST Tool,Scan policies defined; Test harness configured,
Vulnerability Management,framework_cve_monitor,Monitor CVEs for common frameworks,Framework list; NVD feeds,Level 3,Security & Compliance Team,Platform agnostic,NVD Feeds,Framework list imported,
Forensics & Investigations,parent_child_anomaly,Flag suspicious process trees,ETW/auditd; process telemetry,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),ETW/auditd rules configured; Baseline captured,
Forensics & Investigations,registry_baseline_compare,Diff registry hive snapshots,Baseline registry exports,Level 4,Security & Compliance Team,Windows,Agent (Tenantra),Baseline snapshots configured; Export schedule set,
Forensics & Investigations,file_permissions_audit,Detect anomalous ACLs & world-writable files,Baseline FS permissions,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline permissions imported,
Forensics & Investigations,orphaned_processes_detector,Identify zombie/defunct processes,auditd; EDR integration,Level 3,Security & Compliance Team,Linux,Agent (Tenantra),auditd enabled; EDR integration configured,
Forensics & Investigations,memory_forensics,Capture & analyze memory dumps,Volatility/Rekall; dump service,Level 5,Security & Compliance Team,"Windows, Linux, macOS",Volatility/Rekall,Dump collection service configured; RW permissions on dump directory,
