module_name,category,phase,phase_name,purpose_output_goal,data_sources,auth_strategy,telemetry_tables,success_criteria,failure_modes,execution_frequency,runtime_estimate_minutes,owner_team,development_status,priority,impact_level,priority_score,batch_order_hint,integration_endpoints,credential_owner,secret_rotation_days,telemetry_schema_notes,expected_artifacts,rollback_plan
cis_benchmark,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS, WinRM, OSQuery",Machine creds or agent keys in Vault kv/tenants/<tenant>/grc,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
iso_27001_check,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS, WinRM, OSQuery",Machine creds or agent keys in Vault kv/tenants/<tenant>/grc,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
nist_mapping,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS, WinRM, OSQuery",Machine creds or agent keys in Vault kv/tenants/<tenant>/grc,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
pci_dss_check,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS",Machine creds via AD or agent keys; Vault‑managed; rotation 60 days.,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
gdpr_audit,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS, WinRM, OSQuery",Machine creds or agent keys in Vault kv/tenants/<tenant>/grc,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
sox_compliance_check,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS",Machine creds via AD or agent keys; Vault‑managed; rotation 60 days.,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
hipaa_compliance_checker,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS, WinRM, OSQuery",Machine creds or agent keys in Vault kv/tenants/<tenant>/grc,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
policy_as_code_checker,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS",Machine creds via AD or agent keys; Vault‑managed; rotation 60 days.,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
fisma_continuous_scanner,Continuous Compliance,9,Compliance & Policy Enforcement,Evaluate Windows servers against CIS 2019 L1 benchmarks; store evidence.,"WinRM/PowerShell, OSQuery (Windows build), Cloud Config APIs for IaaS",Machine creds via AD or agent keys; Vault‑managed; rotation 60 days.,"compliance_results, control_evidence",≥95% controls evaluated; pass/fail computed; evidence exportable for audit.,Evidence missing; schema mismatch; agent gaps; timeout.,daily,30,GRC,ready,P0 - Critical,High,5.0,1,winrm://<host>; osquery://agent,GRC via Vault,60,"control_evidence(control_id text, host_id uuid, result text, evidence jsonb, ts timestamptz) partitioned by day","Compliance CSV/PDF, evidence bundle, control summary; Raw compliance_results export; Raw control_evidence export",Skip failing controls; keep last known pass; rescan overnight; alert GRC.
audit_log_retention_check,Audit & Reporting,3,Network Exposure Scanning,Map exposed services and policy misconfigurations across perimeter firewalls and DMZ.,"Panorama API, Nmap TCP/UDP, SNMPv3 on edge devices",Panorama API key per tenant; SNMPv3 authPriv; all secrets in Vault; source IP allow-listed.,"network_assets, network_findings, firewall_policies",≥90% subnet coverage; port/service inventory updated; policy anomalies flagged.,ACL blocks; scan budget exceeded; SNMP auth fail; API throttling.,daily,15,NetOps,design,P2 - Elevated,High,4.0,2,https://panorama/api/; nmap://scanner; snmpv3://edge-fw,NetOps via Vault (kv/tenants/<tenant>/panorama),90,"network_findings(id uuid pk, tenant_id, ip inet, port int, svc text, severity text, meta jsonb)","Open-port delta report, exposed service list, policy drift summary; Raw network_assets export; Raw network_findings export; Raw firewall_policies export",Throttle probes; fall back to last inventory; requeue with backoff; notify NetOps.
